Ticker,Name,Inception Date,Last Price,Below 52W High %,Below All-Time High %,RSI,Volatility (1M),Volatility (3M),Volatility (6M),Volatility (1Y),Fund Flows/Periodic (M),Fund Flows/Periodic (W),Fund Flows/Periodic (Y),EMA (10D),EMA (20D),EMA (50D),EMA (100D),EMA (150D),EMA (200D),EMA (250D),EMA (300D),EMA (5D),EMA (21D),RSI 10D,Price Chg. % (1M),Price Chg. % (3M),Price Chg. % (1W),Price Chg. % (6M),Price Chg. % (1Y),Price Chg. % (3Y),Price Chg. % (5Y),Price Chg. % (10Y),Classification,All-Time High,All-Time Low,AUM,Class,Rel. Volume,30-Day SEC Yield,SEC Yield,P/E (LTM),P/E (NTM),Div Yield (Ind)
GLD,Gold Trust ETF,Nov-12-2004,431.8100,-0.1528,-0.1528,47.35,35.60,41.89,34.32,27.78,-3259.02,1228.18,14763.95,427.6602,433.7741,439.2525,424.3984,406.2722,389.6082,374.6423,361.3040,428.6022,434.3798,49.06,-0.0881,0.0552,0.0035,0.1790,0.5776,1.3155,1.6530,2.6406,Commodities Specified,509.7000,41.0200,157209.69,Commodities/Precious Metals/Gold,0.7,,,,,
GSG,iShares GSCI Commodity Trust,Jul-10-2006,33.3440,-0.0207,-0.5646,69.32,37.80,30.52,24.33,20.92,75.43,20.55,-273.92,32.3538,31.2680,28.8338,26.7823,25.7053,25.0196,24.5368,24.1689,32.9633,31.1646,69.35,0.1186,0.4360,0.0339,0.4466,0.6163,0.6171,1.3783,1.4681,Commodities Broad Basket,76.5800,7.5001,1098.65,Commodities/Broad Commodities/Broad Commodities,1.2,,,,,
HEFA,iShares Currency Hedged EAFE ETF,Jan-31-2014,43.0300,-0.0485,-0.0485,53.58,19.19,16.10,13.62,15.22,-80.07,47.54,-1943.07,42.5917,42.5843,42.7437,42.2704,41.6109,40.9718,40.3849,39.8574,42.8720,42.5963,56.41,0.0110,0.0174,0.0126,0.0633,0.3281,0.4599,0.2910,0.8628,Global Equity Large Cap,45.2250,26.9300,6952.53,Equity/Strategy/Target Risk,1.3,0.0305,0.0305,,,0.0322
HYG,iShares High Yield Bond ETF,Apr-04-2007,79.7200,-0.0202,-0.2512,50.85,7.60,5.01,4.27,5.23,1174.34,293.57,213.96,79.4486,79.5439,79.9703,80.2395,80.2663,80.1951,80.0650,79.9116,79.5476,79.5603,53.98,0.0004,-0.0143,0.0020,-0.0130,0.0476,0.0652,-0.0861,-0.0176,US Fixed Income,106.4700,61.5000,16698.31,Fixed Income/Corporate/High Yield,0.9,0.0670,0.0672,,,0.0578
IBIT,iShares Bitcoin ETF,Jan-05-2024,39.1000,-0.4556,-0.4556,47.84,36.14,58.32,51.76,44.70,644.85,181.74,23133.74,38.9145,39.2466,41.3872,45.6218,48.3732,49.7699,50.1138,49.8761,38.8526,39.2884,49.28,0.0130,-0.2414,0.0177,-0.4344,-0.1168,,,,,71.8200,22.0200,54755.90,Currency/Alternative Currency/Cryptocurrency,0.7,,,,,
IEF,iShares 7-10 Year Treasury ETF,Jul-22-2002,95.2500,-0.0285,-0.2282,45.51,6.65,5.26,4.60,5.15,1623.25,637.62,14310.06,95.2050,95.4629,95.9185,96.1085,96.0665,95.9536,95.8129,95.7210,95.1600,95.4878,46.79,-0.0124,-0.0127,-0.0020,-0.0115,-0.0017,-0.0521,-0.1609,-0.1422,US Fixed Income,123.4100,79.5200,49359.65,Fixed Income/U.S. Government/Treasury,0.4,0.0407,0.0410,,,0.0381
IGOV,iShares Int'l Treasury ETF,Jan-21-2009,41.0750,-0.0534,-0.2729,45.49,12.13,9.51,7.58,8.81,-22.65,6.18,603.18,41.0087,41.2050,41.6285,41.8468,41.8622,41.7871,41.6665,41.5605,40.9884,41.2262,47.39,-0.0180,-0.0150,0.0004,-0.0267,0.0307,0.0117,-0.2176,-0.1620,Global Fixed Income,56.4950,35.4700,1156.01,Fixed Income/Sovereign/Broad Sovereign,0.6,0.0289,0.0289,,,0.0143
ILF,iShares Latin America 40 ETF,Oct-25-2001,35.6100,-0.0484,-0.4217,56.37,34.55,30.45,25.41,22.60,63.64,79.06,2068.55,35.0482,34.8245,34.5050,33.2546,32.0390,31.0733,30.3450,29.8474,35.4231,34.8194,59.40,0.0532,0.1319,0.0025,0.2800,0.6320,0.5186,0.2736,0.5025,Latin America Equity,61.5800,6.1220,4360.73,Equity/Size and Style/Large Cap,1.1,0.0186,0.0186,13.7,10.2,0.0375
INDA,iShares MSCI India ETF,Feb-02-2012,47.3550,-0.1545,-0.2040,43.79,24.10,19.09,15.56,15.16,-1860.07,-528.80,-1746.35,46.9947,47.6857,49.5895,51.0727,51.7351,52.0723,52.2274,52.3249,46.9821,47.7651,47.45,-0.0527,-0.1263,0.0110,-0.1045,-0.0361,0.1854,0.1359,0.8220,India Equity,59.4900,18.7600,6435.96,Equity/Broad Equity/Strategy,1.0,0.0039,0.0039,22.2,20.0,
ITA,iShares U.S. Aerospace & Defense ETF,May-01-2006,223.3000,-0.1091,-0.1091,45.27,27.27,24.49,22.95,21.33,-1558.86,-150.75,3945.44,222.7164,225.7471,228.7785,224.3402,217.8772,211.3613,205.1765,199.4832,222.5118,226.0214,46.50,-0.0780,-0.0137,0.0208,0.0486,0.6443,0.9516,1.1269,2.8142,Industrials Sector Equity,250.6500,102.0200,13743.07,Equity/Sector/Industrials,0.7,0.0032,0.0032,44.5,37.0,0.0048
